Horizon,Time_Unit,Calibration_Group_Order,Calibration_Risk_Group,Record_Count,Event_Count,At_Risk_At_Horizon,Observed_Events_By_Horizon,Censored_By_Horizon,Predicted_Survival,Observed_KM_Survival,Calibration_Difference,Absolute_Calibration_Error
6.0,months,1,G01 Lowest Modeled Hazard,750,26,741,9,0,0.9820346488666626,0.9879999999999998,-0.005965351133337182,0.005965351133337182
6.0,months,2,G02,750,60,724,26,0,0.960918164905281,0.965333333333333,-0.004415168428052008,0.004415168428052008
6.0,months,3,G03,750,90,718,32,0,0.9376399342663165,0.9573333333333333,-0.019693399067016726,0.019693399067016726
6.0,months,4,G04,750,133,702,48,0,0.9100016746394998,0.9359999999999998,-0.025998325360500063,0.025998325360500063
6.0,months,5,G05,750,173,672,78,0,0.872889731474371,0.8960000000000001,-0.02311026852562914,0.02311026852562914
6.0,months,6,G06,750,268,628,122,0,0.8215574567798946,0.8373333333333333,-0.015775876553438706,0.015775876553438706
6.0,months,7,G07,750,347,591,159,0,0.7456158848430553,0.7880000000000004,-0.04238411515694507,0.04238411515694507
6.0,months,8,G08,750,499,472,278,0,0.6400262707165649,0.6293333333333332,0.010692937383231738,0.010692937383231738
6.0,months,9,G09,750,631,354,396,0,0.46493038136826115,0.4719999999999999,-0.007069618631738772,0.007069618631738772
6.0,months,10,G10 Highest Modeled Hazard,750,737,76,674,0,0.1399781386300333,0.10133333333333334,0.03864480529669996,0.03864480529669996
12.0,months,1,G01 Lowest Modeled Hazard,750,26,541,15,194,0.9659755335707214,0.9797323026241097,-0.013756769053388296,0.013756769053388296
12.0,months,2,G02,750,60,525,45,180,0.9266599895074278,0.9366459731622712,-0.009985983654843378,0.009985983654843378
12.0,months,3,G03,750,90,522,66,162,0.8842284681767458,0.9093885833588142,-0.0251601151820684,0.0251601151820684
12.0,months,4,G04,750,133,475,97,178,0.8351247383436857,0.8640568565701029,-0.02893211822641717,0.02893211822641717
12.0,months,5,G05,750,173,452,136,162,0.7712318980415349,0.8120000071361213,-0.04076810909458639,0.04076810909458639
12.0,months,6,G06,750,268,401,214,135,0.6869915946923272,0.7034163040457029,-0.0164247093533757,0.0164247093533757
12.0,months,7,G07,750,347,330,277,143,0.5709458638431687,0.6106632860413962,-0.03971742219822749,0.03971742219822749
12.0,months,8,G08,750,499,217,433,100,0.42743948001544474,0.4061091388596747,0.02133034115577004,0.02133034115577004
12.0,months,9,G09,750,631,126,576,48,0.23537888621757067,0.21776441101539368,0.017614475202176988,0.017614475202176988
12.0,months,10,G10 Highest Modeled Hazard,750,737,14,729,7,0.03583427799218406,0.02443737553597175,0.011396902456212311,0.011396902456212311
18.0,months,1,G01 Lowest Modeled Hazard,750,26,273,21,456,0.9515696973800538,0.9658144868916058,-0.014244789511551947,0.014244789511551947
18.0,months,2,G02,750,60,246,58,446,0.8964775824038679,0.9069306228051848,-0.010453040401316893,0.010453040401316893
18.0,months,3,G03,750,90,240,84,426,0.8381856373555038,0.8631162847515208,-0.024930647396017025,0.024930647396017025
18.0,months,4,G04,750,133,209,123,418,0.7722962464827756,0.8043318457013579,-0.032035599218582234,0.032035599218582234
18.0,months,5,G05,750,173,209,166,375,0.6888327437049523,0.7449697374124623,-0.05613699370751002,0.05613699370751002
18.0,months,6,G06,750,268,160,256,334,0.5837752239039539,0.6045555441477185,-0.02078032024376464,0.02078032024376464
18.0,months,7,G07,750,347,124,329,297,0.4480959854742051,0.47684403116346713,-0.028748045689262036,0.028748045689262036
18.0,months,8,G08,750,499,59,488,203,0.29649156043423514,0.2566579699298862,0.039833590504348926,0.039833590504348926
18.0,months,9,G09,750,631,29,622,99,0.1284283457518234,0.11690398597515385,0.01152435977666956,0.01152435977666956
18.0,months,10,G10 Highest Modeled Hazard,750,737,1,737,12,0.011363567494387113,0.0069336204397697655,0.004429947054617347,0.004429947054617347
24.0,months,1,G01 Lowest Modeled Hazard,750,26,0,26,724,0.935388831157976,0.94021473711291,-0.00482590595493404,0.00482590595493404
24.0,months,2,G02,750,60,0,60,690,0.863284927539082,0.8984468185602352,-0.03516189102115319,0.03516189102115319
24.0,months,3,G03,750,90,0,90,660,0.7884684466123587,0.8032867295868611,-0.014818282974502384,0.014818282974502384
24.0,months,4,G04,750,133,0,133,617,0.7064996563540656,0.6661823657846614,0.04031729056940425,0.04031729056940425
24.0,months,5,G05,750,173,0,173,577,0.6054450693546659,0.6762763024960727,-0.07083123314140682,0.07083123314140682
24.0,months,6,G06,750,268,0,268,482,0.48540669275030884,0.5004506248426925,-0.015043932092383694,0.015043932092383694
24.0,months,7,G07,750,347,0,347,403,0.340254172899114,0.36434850763749504,-0.024094334738381018,0.024094334738381018
24.0,months,8,G08,750,499,0,499,251,0.1963066049956884,0.19519169310719003,0.0011149118884983544,0.0011149118884983544
24.0,months,9,G09,750,631,0,631,119,0.06523956480777397,0.06231619329934486,0.0029233715084291123,0.0029233715084291123
24.0,months,10,G10 Highest Modeled Hazard,750,737,0,737,13,0.003283553765559618,0.0069336204397697655,-0.0036500666742101473,0.0036500666742101473
