Feature,Coefficient,Hazard_Ratio,Standard_Error,Coefficient_CI_Lower,Coefficient_CI_Upper,Hazard_Ratio_CI_Lower,Hazard_Ratio_CI_Upper,Z_Statistic,P_Value,Negative_Log2_P,Interpretation_Unit
onboarding_completion,-0.364097124768447,0.6948237068739502,0.026596154368641902,-0.4162246294582528,-0.31196962007864126,0.6595321035045674,0.7320037661073671,-13.689841009410534,1.1676446777327853e-42,139.2973786662414,Per 1 SD
monthly_active_days,-0.2966424977986909,0.7433096997211069,0.020817932220263055,-0.33744489518300247,-0.2558401004143793,0.7135912959408717,0.7742657636693808,-14.249373792751378,4.523189614522097e-46,150.63135188903576,Per 1 SD
product_adoption_count,-0.14171386622186438,0.8678695477545885,0.024135382840031527,-0.1890183473414122,-0.09440938510231654,0.8277713191524048,0.9099101823085504,-5.871622885004101,4.315495313914324e-09,27.787826698772598,Per 1 SD
support_tickets_90d,0.14221065837153893,1.1528194740325732,0.021979378886416424,0.09913186735160265,0.1852894493914752,1.1042118994575238,1.2035667613812575,6.470185490975234,9.788268447261965e-11,33.25015537530008,Per 1 SD
support_resolution_days,0.22915378890395735,1.2575354191333954,0.019790003561955743,0.1903660946686047,0.26794148313931,1.2096923785328797,1.3072706404027508,11.579269714962663,5.2491307902496475e-31,100.58769239652312,Per 1 SD
service_incidents_90d,0.17716807151338226,1.193831725371191,0.015823620106645807,0.14615434599931262,0.2081817970274519,1.1573748104373125,1.23143702079038,11.196431051765009,4.244921203395302e-29,94.25017697781996,Per 1 SD
tenure_at_start,-0.11087255525402473,0.895052811438731,0.016931692365724327,-0.1440580624881562,-0.07768704801989326,0.8658374739216236,0.9252539412920983,-6.54822641819725,5.82243996802154e-11,33.99958518408381,Per 1 SD
auto_renew_flag,-0.23633139029299247,0.7895189916457481,0.014027148495384128,-0.26382409614974056,-0.20883868443624437,0.7681086410413077,0.8115261368811976,-16.848142041895496,1.0826282217486898e-63,209.1669320763457,Per 1 SD
enterprise_flag,-0.11204294160934057,0.8940058666254074,0.018466662779698394,-0.14823693557219575,-0.07584894764648539,0.862226798538215,0.9269562149026872,-6.0673085844463825,1.3007149628546773e-09,29.518048007787627,Per 1 SD
monthly_active_days_x_product_adoption_count,-0.20767278536819014,0.8124728462244193,0.029261513239620934,-0.26502429745098915,-0.15032127328539116,0.767187309053352,0.8604314983605955,-7.097130748760977,1.27373546212956e-12,39.51407145846592,Per 1 SD
support_tickets_90d_x_support_resolution_days,0.21089415520750127,1.2347816529366105,0.023222475941065815,0.16537893873116438,0.25640937168383815,1.179840121131255,1.2922816431831188,9.08146727087629,1.071208932523653e-19,63.01739390678831,Per 1 SD
onboarding_completion_sq,-0.3109070155792453,0.7327820100123169,0.028440986970771923,-0.36665032572673123,-0.2551637054317594,0.6930519451141177,0.7747896503043131,-10.93165352871743,8.135232760185652e-28,89.9898030328707,Per 1 SD
