Scenario_Name,Scenario_Type,Expected_Direction,Feature,Operation,Configured_Value,Lower_Bound,Upper_Bound,Round_Digits,Target_Cohort_Count,Records_Changed,Records_Changed_Rate,Records_Hitting_Lower_Bound,Lower_Bound_Hit_Rate,Records_Hitting_Upper_Bound,Upper_Bound_Hit_Rate,Mean_Baseline_Value,Mean_Unconstrained_Value,Mean_Scenario_Value,Mean_Absolute_Change,Mean_Signed_Change,Mean_Relative_Change,Configured_vs_Realized_Note
No-Change Control,CONTROL,NEUTRAL,NO_CHANGE,NONE,0.0,,,,1875,0,0.0,0,0.0,0,0.0,,,,0.0,0.0,0.0,No-change control; no feature movement configured.
Onboarding Completion Improvement,IMPROVEMENT,IMPROVED,onboarding_completion,add,0.1,0.0,1.0,6.0,1875,1875,1.0,0,0.0,3,0.0016,0.49094432853333336,0.5909443285333333,0.5909253690666667,0.09998104053333336,0.09998104053333336,0.22470904023026825,Bounds and rounding may cause realized movement to differ from the configured change.
Support Resolution Improvement,IMPROVEMENT,IMPROVED,support_resolution_days,multiply,0.75,0.25,20.0,4.0,1875,1868,0.9962666666666666,8,0.004266666666666667,0,0.0,3.8778405333333335,2.9083804000000004,2.9086147199999997,0.9692258133333334,-0.9692258133333334,-0.24906216770168982,Bounds and rounding may cause realized movement to differ from the configured change.
Product Adoption Expansion,IMPROVEMENT,IMPROVED,product_adoption_count,add,1.0,1.0,8.0,0.0,1875,1866,0.9952,0,0.0,40,0.021333333333333333,2.6378666666666666,3.6378666666666666,3.6330666666666667,0.9952,0.9952,0.5309219047619048,Bounds and rounding may cause realized movement to differ from the configured change.
Combined Retention Strategy,IMPROVEMENT,IMPROVED,onboarding_completion,add,0.1,0.0,1.0,6.0,1875,1875,1.0,0,0.0,3,0.0016,0.49094432853333336,0.5909443285333333,0.5909253690666667,0.09998104053333336,0.09998104053333336,0.22470904023026825,Bounds and rounding may cause realized movement to differ from the configured change.
Combined Retention Strategy,IMPROVEMENT,IMPROVED,support_resolution_days,multiply,0.75,0.25,20.0,4.0,1875,1868,0.9962666666666666,8,0.004266666666666667,0,0.0,3.8778405333333335,2.9083804000000004,2.9086147199999997,0.9692258133333334,-0.9692258133333334,-0.24906216770168982,Bounds and rounding may cause realized movement to differ from the configured change.
Combined Retention Strategy,IMPROVEMENT,IMPROVED,product_adoption_count,add,1.0,1.0,8.0,0.0,1875,1866,0.9952,0,0.0,40,0.021333333333333333,2.6378666666666666,3.6378666666666666,3.6330666666666667,0.9952,0.9952,0.5309219047619048,Bounds and rounding may cause realized movement to differ from the configured change.
Service Friction Stress,STRESS,ADVERSE,support_resolution_days,multiply,1.25,0.25,20.0,4.0,1875,1875,1.0,0,0.0,0,0.0,3.8778405333333335,4.8473006666666665,4.847301333333333,0.9694608,0.9694608,0.2500004849471571,Bounds and rounding may cause realized movement to differ from the configured change.
Service Friction Stress,STRESS,ADVERSE,service_incidents_90d,add,1.0,0.0,8.0,0.0,1875,1875,1.0,0,0.0,0,0.0,0.9578666666666666,1.9578666666666666,1.9578666666666666,1.0,1.0,0.7793650793650795,Bounds and rounding may cause realized movement to differ from the configured change.
